date,name,price,weight,kind,site,location
2022-08-23 17:39:30,"꿀당도 햇 홍로 사과 5kg, 홍로사과 5kg(17~18과)",6580,5,홍로,쿠팡,
2022-08-23 17:39:31,"아오리사과 4kg 정말 맛있는 사과 농원직송, 1박스, 4kg(아오리사과/29과 내외)",3175,4,아오리,쿠팡,
2022-08-23 17:39:33,[업푸르트] 햇 홍로사과 2kg (10과 내외/가정용)/2개 구매시 4.5kg 발송,2868,4.5,홍로,쿠팡,
2022-08-23 17:39:34,(용이다팜) 정품 가정용 사과10kg 홍로 (50과내외),2490,10,홍로,쿠팡,
2022-08-23 17:39:35,"(드디어~ 첫수확! 초초초특가) 초록 아오리 햇사과 4kg(14-25과)(중소랜덤) 첫수확 초특가, 1",2475,4,아오리,쿠팡,
2022-08-23 17:39:38,"빨간 가을 홍로 부사 감홍 경북 청송 안동 영동 흠집 못난이 꿀 햇 가정용 사과 10kg, 선물용(백화점납품사과), 3kg, 중소과(12~14과)",8933,3,홍로,쿠팡,경상남도
2022-08-23 17:39:40,"가정용 사과 1kg 2kg 3kg 4kg 5kg, 사과 3kg",5966,3,,쿠팡,
2022-08-23 17:39:43,"경북 부사 꿀 사과 가정용 흠집 사과 백화점 농협 납품 산지 직송 10kg 5kg 3kg, 부사 꿀 사과 중소과 (39-43과) 10kg",4890,10,부사,쿠팡,경상남도
2022-08-23 17:39:44,"경북 부사 사과 흠과 주스용 9kg(랜덤과), 단품",2057,9,부사,쿠팡,경상남도
2022-08-23 17:39:46,"[은하수농장] 가정용 꿀사과 특가판매, 1박스, 04.가정용흠과 사과 2KG/중과",7950,2,,쿠팡,
2022-08-23 17:39:47,"하이프루츠 썸머킹 초록사과, 1.5kg (7~10과이내), 1봉",6913,1.5,,쿠팡,
date,title,price,weight,kind,site,location
2022-08-23 18:43:55,"껍질째먹는 훈이네 경북 부사 청송 꿀사과, 혼합5KG",6580,5,부사,쿠팡,경상남도
2022-08-23 18:43:56,"고산지 재배 당도선별 사과, 1.5kg(5~8입), 1봉",8533,1.5,,쿠팡,
2022-08-23 18:43:57,"국내산 당도선별 안동세척 사과, 2kg(7~12입), 1개",8400,2,,쿠팡,경상북도
2022-08-23 18:43:59,"클라스가 다른 경북 햇 홍로 사과 가정용 5kg, 1박스, 경북 햇 홍로 사과 가정용 5kg 25-28과",3180,5,홍로,쿠팡,경상남도
2022-08-23 18:44:03,"새콤달콤 맛있는 아오리 햇 사과, 한입 사과 4.5KG",3000,4.5,아오리,쿠팡,
2022-08-23 18:44:05,"[농장직송] 22년 첫 출하 경북 햇 홍로 사과 (당일수확출고), 정품 홍로사과 2kg 한입과(14-16과내외)",7350,2,홍로,쿠팡,경상남도
2022-08-23 18:44:06,"곰곰 당도선별 사과(햇), 2kg봉",8295,2,,쿠팡,
2022-08-23 18:44:07,"아삭한 세척 아오리사과, 세척 아오리사과 5kg 꼬마소과 18-28과내외",3380,5,아오리,쿠팡,
2022-08-23 18:44:09,"클라스가 다른 경북 햇 홍로 세척사과 5kg(가정용), 1박스, 홍로 세척사과 가정용 5kg 25-28과",3780,5,홍로,쿠팡,경상남도
2022-08-23 18:44:09,아삭아삭당도좋은고랭자사과10kg(55-70과),1990,10,,쿠팡,
2022-08-23 18:44:12,"클라스가 다른 경북 햇 홍로 사과 가정용 5kg, 1박스, 경북 햇 홍로 사과 가정용 5kg 29-33과",2780,5,홍로,쿠팡,경상남도
2022-08-23 18:44:14,"[한울지기] 22년 청송 사과 홍로 부사 당도선별 꿀사과 3kg 대과 중과, 3kg 13-15과 중과",5266,3,홍로,쿠팡,경상북도
2022-08-23 18:44:15,"껍질채먹는 간편한 세척사과, 세척사과 2.5kg 13~18과 꼬마사과",5160,2.5,,쿠팡,
2022-08-23 18:44:17,"[장길영사과] 사과 알뜰 특대과 5kg(10~16과), 상세 설명 참조, 상세 설명 참조",3180,5,,쿠팡,
2022-08-23 18:44:19,"[착한식탁] 껍질채먹는 햇 홍로 세척 사과 5kg(24-28과), 세척사과 5kg 24-28과 내외",4560,5,홍로,쿠팡,
2022-08-23 18:44:21,"[장길영사과] 갈아먹는 알뜰사과 중소과 10kg(33~46과), 상세 설명 참조, 상세 설명 참조",1590,10,,쿠팡,
2022-08-23 18:44:22,"맛있는 사과 가정용 흠집사과 못난이 당도보장, 1박스, 5kg(소과-꼬마과) 작은사이즈",3960,5,,쿠팡,
2022-08-23 18:44:23,"[산들네] 껍질째 먹는 경북 세척 꼬마사과 3kg 18-22과내, 단품",5833,3,,쿠팡,경상남도
2022-08-23 18:44:25,"[은하수농장] 가정용 꿀사과 특가판매, 1박스, 03.가정용흠과 사과 2KG/ 소과",7150,2,,쿠팡,
2022-08-23 18:44:28,"산지직송 경북 청송 꿀 사과 부사 세척 사과 가정용 중과 대과 특과 5kg, 아삭 제철 사과 5kg (26-30과) - 중과",3572,5,부사,쿠팡,경상남도
2022-08-23 18:44:30,"저탄소인증 안동 세척사과 안동사과 환경친화적 탄소저감농법 애플진 [그린푸드데이X과일드림], 세척사과 1.5kg 중 6과",11800,1.5,,쿠팡,경상북도
2022-08-23 18:44:30,"아오리 사과 1.3kg봉(6~8입), 1.3kg, 1개",6069,1.3,아오리,쿠팡,
2022-08-23 18:44:31,"안동 당도선별 사과, 2kg(5~14과 내외), 1봉",7950,2,,쿠팡,경상북도
2022-08-23 18:44:33,"프레샤인 GAP 인증 충주 깨끗이 씻은 초록사과, 2.5kg, 1박스",7960,2.5,,쿠팡,충청북도
2022-08-23 18:44:34,"[장길영사과] 사과 중과 5kg(17~19과), 상세 설명 참조, 상세 설명 참조",3980,5,,쿠팡,
2022-08-23 18:44:36,"꿀당도 햇 홍로 사과 5kg, 홍로사과 5kg(17~18과)",6580,5,홍로,쿠팡,
2022-08-23 18:44:37,"아오리사과 4kg 정말 맛있는 사과 농원직송, 1박스, 4kg(아오리사과/29과 내외)",3175,4,아오리,쿠팡,
2022-08-23 18:44:39,산지직송 경북 꿀 사과 부사 청송 가정용 대과 특과 10kg,2486,10,부사,쿠팡,경상남도
2022-08-23 18:44:40,"(드디어~ 첫수확! 초초초특가) 초록 아오리 햇사과 4kg(14-25과)(중소랜덤) 첫수확 초특가, 1",2475,4,아오리,쿠팡,
2022-08-23 18:44:42,[업푸르트] 햇 홍로사과 2kg (10과 내외/가정용)/2개 구매시 4.5kg 발송,2868,4.5,홍로,쿠팡,
2022-08-23 18:44:43,(용이다팜) 정품 가정용 사과10kg 홍로 (50과내외),2490,10,홍로,쿠팡,
2022-08-23 18:44:43,"하이프루츠 썸머킹 초록사과, 1.5kg (7~10과이내), 1봉",6913,1.5,,쿠팡,
2022-08-23 18:44:44,"곰곰 새콤달콤 아오리 사과, 1.2kg, 1봉",7158,1.2,아오리,쿠팡,
2022-08-23 18:44:46,"프레샤인 GAP 인증 충주 초록사과, 1.3kg(5~9입), 1봉",9153,1.3,,쿠팡,충청북도
2022-08-23 18:44:47,"햇 홍로 빨간 가정용 한입 사과 5KG (당일발송), 가정용 사과 5KG",3980,5,홍로,쿠팡,
date,title,price,weight,kind,site,location
2022-08-23 18:49:20,"껍질째먹는 훈이네 경북 부사 청송 꿀사과, 혼합5KG",6580,5,부사,쿠팡,경상남도
